type,ins,i30,i25,i14,i13,i12,i6,i5,i4 ,i3,i2,ibin,ssel1,ssel0,lsel2,lsel1,lsel0,brsel3,brsel2,brsel1,brsel0,as4,as3,as2,as1,as0,regwen,is2,is1,is0,bsel,obin
,,1,1,0,0,0,0,1,1,0,1,1100001101,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0011000000000011001
,,1,1,0,0,1,0,1,1,0,1,1100101101,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0011000000000011001
,,1,1,0,1,0,0,1,1,0,1,1101001101,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0011000000000011001
,,1,1,0,1,1,0,1,1,0,1,1101101101,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0011000000000011001
,,1,1,1,0,0,0,1,1,0,1,1110001101,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0011000000000011001
,,1,1,1,0,1,0,1,1,0,1,1110101101,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0011000000000011001
,,1,1,1,1,0,0,1,1,0,1,1111001101,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0011000000000011001
,,1,1,1,1,1,0,1,1,0,1,1111101101,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0011000000000011001
,auipc,0,0,0,0,0,0,0,1,0,1,0000000101,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0011100000000011001
,,0,0,0,0,1,0,0,1,0,1,0000100101,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0011100000000011001
,,0,0,0,1,0,0,0,1,0,1,0001000101,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0011100000000011001
,,0,0,0,1,1,0,0,1,0,1,0001100101,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0011100000000011001
,,0,0,1,0,0,0,0,1,0,1,0010000101,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0011100000000011001
,,0,0,1,0,1,0,0,1,0,1,0010100101,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0011100000000011001
,,0,0,1,1,0,0,0,1,0,1,0011000101,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0011100000000011001
,,0,0,1,1,1,0,0,1,0,1,0011100101,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0011100000000011001
,,1,0,0,0,0,0,0,1,0,1,1000000101,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0011100000000011001
,,1,0,0,0,1,0,0,1,0,1,1000100101,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0011100000000011001
,,1,0,0,1,0,0,0,1,0,1,1001000101,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0011100000000011001
,,1,0,0,1,1,0,0,1,0,1,1001100101,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0011100000000011001
,,1,0,1,0,0,0,0,1,0,1,1010000101,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0011100000000011001
,,1,0,1,0,1,0,0,1,0,1,1010100101,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0011100000000011001
,,1,0,1,1,0,0,0,1,0,1,1011000101,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0011100000000011001
,,1,0,1,1,1,0,0,1,0,1,1011100101,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0011100000000011001
,,0,1,0,0,0,0,0,1,0,1,0100000101,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0011100000000011001
,,0,1,0,0,1,0,0,1,0,1,0100100101,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0011100000000011001
,,0,1,0,1,0,0,0,1,0,1,0101000101,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0011100000000011001
,,0,1,0,1,1,0,0,1,0,1,0101100101,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0011100000000011001
,,0,1,1,0,0,0,0,1,0,1,0110000101,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0011100000000011001
